who is the author of the book , `` the iron lady : a biography of margaret thatcher '' ?	HUM	(ROOT (SBARQ (WHNP (WP who)) (@SBARQ (SQ (VBZ is) (NP (NP (DT the) (NN author)) (PP (IN of) (NP (@NP (@NP (@NP (NP (DT the) (NN book)) (, ,)) (`` ``)) (NP (@NP (NP (DT the) (@NP (NN iron) (NN lady))) (: :)) (NP (NP (DT a) (NN biography)) (PP (IN of) (NP (NN margaret) (NN thatcher)))))) ('' ''))))) (. ?))))
1	0	the iron lady ; a biography of margaret thatcher by hugo young -lrb- farrar , straus & giroux -rrb-	(ROOT (NP (@NP (NP (DT the) (@NP (NN iron) (NN lady))) (: ;)) (NP (NP (DT a) (NN biography)) (PP (IN of) (NP (NP (NN margaret) (NN thatcher)) (PP (IN by) (NP (@NP (@NP (@NP (NP (NN hugo) (@NP (JJ young) (@NP (JJ -lrb-) (NN farrar)))) (, ,)) (NP (NN straus))) (CC &)) (NP (NN giroux) (NN -rrb-)))))))))
1	0	in this same revisionist mold , hugo young , the distinguished british journalist , has performed a brilliant dissection of the notion of thatcher as a conservative icon .	(ROOT (S (PP (IN in) (NP (DT this) (@NP (JJ same) (@NP (JJ revisionist) (NN mold))))) (@S (, ,) (@S (NP (@NP (@NP (NP (NN hugo) (JJ young)) (, ,)) (NP (DT the) (@NP (JJ distinguished) (@NP (JJ british) (NN journalist))))) (, ,)) (@S (VP (VBZ has) (VP (@VP (VBN performed) (NP (NP (DT a) (@NP (JJ brilliant) (NN dissection))) (PP (IN of) (NP (NP (DT the) (NN notion)) (PP (IN of) (NP (NN thatcher))))))) (PP (IN as) (NP (DT a) (@NP (JJ conservative) (NN icon)))))) (. .))))))
1	0	in `` the iron lady , '' young traces the winding staircase of fortune that transformed the younger daughter of a provincial english grocer into the greatest woman political leader since catherine the great .	(ROOT (S (PP (IN in) (NP (`` ``) (@NP (@NP (@NP (NP (DT the) (@NP (NN iron) (NN lady))) (, ,)) ('' '')) (NP (NP (JJ young) (NNS traces)) (PP (NP (DT the) (@NP (VBG winding) (NN staircase))) (PP (IN of) (NP (NN fortune)))))))) (@S (NP (WDT that)) (@S (VP (@VP (@VP (VBD transformed) (NP (NP (DT the) (@NP (JJR younger) (NN daughter))) (PP (IN of) (NP (DT a) (@NP (JJ provincial) (@NP (JJ english) (NN grocer))))))) (PP (IN into) (NP (NP (DT the) (@NP (JJS greatest) (@NP (NN woman) (@NP (JJ political) (NN leader))))) (PP (IN since) (NP (NN catherine)))))) (NP-TMP (DT the) (JJ great))) (. .)))))
1	0	`` he is the very essence of the classless meritocrat , '' says hugo young , thatcher 's biographer .	(ROOT (SINV (`` ``) (@SINV (S (NP (PRP he)) (VP (VBZ is) (NP (NP (DT the) (@NP (RB very) (NN essence))) (PP (IN of) (NP (DT the) (@NP (JJ classless) (NN meritocrat))))))) (@SINV (, ,) (@SINV ('' '') (@SINV (@SINV (VP (VBZ says)) (NP (@NP (NP (NN hugo) (JJ young)) (, ,)) (NP (NP (NN thatcher) (POS 's)) (NN biographer)))) (. .)))))))
0	0	from her father , young argues , she inherited a `` joyless earnestness '' that combined with her early interest in science to produce the roots of her public character .	(ROOT (S (PP (IN from) (NP (PRP$ her) (NN father))) (@S (PRN (, ,) (@PRN (NP (JJ young)) (@PRN (VP (VBZ argues)) (, ,)))) (@S (NP (PRP she)) (@S (VP (VBD inherited) (NP (NP (DT a) (@NP (`` ``) (@NP (JJ joyless) (@NP (NN earnestness) ('' ''))))) (SBAR (WHNP (WDT that)) (S (VP (@VP (VBN combined) (PP (IN with) (NP (NP (PRP$ her) (@NP (JJ early) (NN interest))) (PP (IN in) (NP (NN science)))))) (S (VP (TO to) (VP (VB produce) (NP (NP (DT the) (NNS roots)) (PP (IN of) (NP (PRP$ her) (@NP (JJ public) (NN character))))))))))))) (. .))))))
0	0	and boys they were , teen-agers too young for the exercise of informed free will , yet sent on missions to vietnam that many would later consider immoral .	(ROOT (FRAG (CC and) (NP (@NP (NP (NNS boys)) (SBAR (S (NP (PRP they)) (VP (@VP (VBD were) (PRN (, ,) (@PRN (S (NP (NNS teen-agers)) (ADJP (RB too) (@ADJP (JJ young) (PP (IN for) (NP (NP (DT the) (NN exercise)) (PP (IN of) (NP (VBN informed) (@NP (JJ free) (NN will))))))))) (, ,)))) (VP (ADVP (RB yet)) (@VP (@VP (VBN sent) (PP (IN on) (NP (NNS missions)))) (S (VP (TO to) (VP (VB vietnam) (SBAR (IN that) (S (NP (JJ many)) (VP (@VP (MD would) (ADVP (RB later))) (VP (VB consider) (ADJP (JJ immoral))))))))))))))) (. .))))
0	0	this simple , powerful , engaging prose -lrb- translated from the chinese -rrb- is the work of a young writer who at <num> was sent away from her family for eight years to a poverty-stricken northern province of china to fulfill the cultural revolutionary requirement of intellectuals .	(ROOT (S (NP (NP (NP (DT this) (@NP (JJ simple) (@NP (, ,) (@NP (JJ powerful) (@NP (, ,) (@NP (JJ engaging) (NN prose))))))) (ADJP (JJ -lrb-))) (VP (VBN translated) (PP (IN from) (NP (DT the) (@NP (JJ chinese) (NN -rrb-)))))) (@S (VP (VBZ is) (NP (NP (DT the) (NN work)) (PP (IN of) (NP (NP (DT a) (@NP (JJ young) (NN writer))) (SBAR (WHNP (WP who)) (S (PP (IN at) (NP (NN <num>))) (VP (VBD was) (VP (@VP (@VP (@VP (VBN sent) (ADVP (RB away))) (PP (IN from) (NP (NP (PRP$ her) (NN family)) (PP (IN for) (NP (CD eight) (NNS years)))))) (PP (TO to) (NP (NP (DT a) (@NP (JJ poverty-stricken) (@NP (JJ northern) (NN province)))) (PP (IN of) (NP (NN china)))))) (S (VP (TO to) (VP (VB fulfill) (NP (NP (DT the) (@NP (JJ cultural) (@NP (NN revolutionary) (NN requirement)))) (PP (IN of) (NP (NNS intellectuals))))))))))))))) (. .))))
0	0	to read young is to discover that certain suspect analogies have informed the american perception of thatcher as a conservative heroine .	(ROOT (S (S (VP (TO to) (VP (VB read) (ADJP (JJ young))))) (@S (VP (VBZ is) (S (VP (TO to) (VP (VB discover) (SBAR (IN that) (S (NP (ADJP (JJ certain) (JJ suspect)) (NNS analogies)) (VP (VBP have) (VP (@VP (VBN informed) (NP (NP (DT the) (@NP (JJ american) (NN perception))) (PP (IN of) (NP (NN thatcher))))) (PP (IN as) (NP (DT a) (@NP (JJ conservative) (NN heroine)))))))))))) (. .))))
0	0	neither the assumption that thatcher 's road to damascus parallels ronald reagan 's own timely evolution from new deal enthusiast to conservative idealogue , nor the thesis that the iron lady took the tory party by storm in a political coup a la barry goldwater , survives young 's analysis .	(ROOT (SINV (CC neither) (@SINV (ADVP (ADVP (NP (DT the) (NN assumption)) (PP (IN that) (NP (NP (NN thatcher) (POS 's)) (NN road)))) (PP (TO to) (NP (NNP damascus)))) (@SINV (@SINV (@SINV (@SINV (VP (VBZ parallels) (NP (@NP (@NP (NP (NP (NP (NN ronald) (@NP (NN reagan) (POS 's))) (@NP (JJ own) (@NP (JJ timely) (NN evolution)))) (PP (IN from) (NP (NP (JJ new) (@NP (NN deal) (NN enthusiast))) (PP (TO to) (NP (JJ conservative) (NN idealogue)))))) (, ,)) (CC nor)) (NP (NP (DT the) (NN thesis)) (SBAR (IN that) (S (NP (DT the) (@NP (NN iron) (NN lady))) (VP (@VP (@VP (VBD took) (NP (DT the) (@NP (JJ tory) (NN party)))) (PP (IN by) (NP (NN storm)))) (PP (IN in) (NP (DT a) (@NP (JJ political) (NN coup)))))))))) (NP (DT a) (@NP (NNP la) (@NP (NNP barry) (NN goldwater))))) (, ,)) (S (VP (VBZ survives) (NP (NP (JJ young) (POS 's)) (NN analysis))))) (. .)))))
0	0	young makes a persuasive case for the view that thatcher 's less-than-true-blue ideology was mirrored in her policies .	(ROOT (SINV (ADJP (JJ young)) (@SINV (@SINV (@SINV (@SINV (VP (VBZ makes)) (NP (DT a) (@NP (ADJP (JJ persuasive)) (NN case)))) (PP (IN for) (NP (DT the) (NN view)))) (SBAR (IN that) (S (NP (NP (NN thatcher) (POS 's)) (@NP (JJ less-than-true-blue) (NN ideology))) (VP (VBD was) (VP (VBN mirrored) (PP (IN in) (NP (PRP$ her) (NNS policies)))))))) (. .))))
